Age,Population
0,"181,155"
1,"185,501"
2,"185,209"
3,"183,608"
4,"181,638"
5,"179,685"
6,"175,106"
7,"174,682"
8,"170,306"
9,"170,254"
10,"165,831"
11,"160,225"
12,"155,770"
13,"152,628"
14,"148,272"
15,"148,618"
16,"149,056"
17,"143,561"
18,"140,442"
19,"140,782"
20,"136,192"
21,"135,492"
22,"131,214"
23,"129,028"
24,"125,367"
25,"125,513"
26,"124,784"
27,"124,050"
28,"123,510"
29,"122,484"
30,"121,981"
31,"120,716"
32,"119,436"
33,"119,848"
34,"119,258"
35,"119,470"
36,"119,765"
37,"116,856"
38,"114,456"
39,"114,600"
40,"113,667"
41,"109,897"
42,"111,989"
43,"114,917"
44,"112,639"
45,"108,808"
46,"105,226"
47,"102,737"
48,"102,587"
49,"98,301"
50,"93,184"
51,"89,313"
52,"83,210"
53,"84,927"
54,"83,578"
55,"82,029"
56,"79,098"
57,"78,947"
58,"77,936"
59,"80,465"
60,"77,527"
61,"76,210"
62,"74,813"
63,"73,998"
64,"74,666"
65,"72,103"
66,"72,367"
67,"72,444"
68,"71,299"
69,"69,953"
70,"62,751"
71,"61,694"
72,"66,207"
73,"59,264"
74,"46,071"
75,"38,661"
76,"33,014"
77,"30,772"
78,"31,905"
79,"31,809"
80,"31,298"
81,"31,330"
82,"30,484"
83,"26,335"
84,"23,008"
85,"20,027"
86,"17,168"
87,"16,573"
88,"13,486"
89,"12,838"
90,11289
91,9826
92,8423
93,8132
94,6617
95,6299
